epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,452.711,1.54753,1.27026,1.47446,1.27843,0.66633,0.6,0.66429,0.21412,0.79796,0.79082,0.73632,0.19371,1.1882,0.95775,1.09047,1.02257,0.00195985,0.00195985,0.00195985
67,459.699,1.56668,1.35233,1.41797,1.27494,0.61254,0.6,0.67887,0.21679,0.7159,0.7,0.68057,0.14238,1.30246,1.02566,1.05569,1.07127,0.00195862,0.00195862,0.00195862
68,466.503,1.51165,1.24121,1.36494,1.25244,0.94324,0.7,0.75673,0.37441,0.94324,0.7,0.80466,0.35835,1.22111,0.86853,1.09287,1.03637,0.00195737,0.00195737,0.00195737
69,473.286,1.41011,1.10394,1.43167,1.22444,0.5812,0.8,0.67413,0.30577,0.68174,0.9,0.79346,0.31127,1.14548,0.79811,1.02566,0.99177,0.0019561,0.0019561,0.0019561
70,480.492,1.51098,1.30023,1.5113,1.25052,0.53437,0.68935,0.63322,0.20915,0.60343,0.76271,0.6853,0.20666,1.41794,0.93387,1.01743,1.11678,0.00195481,0.00195481,0.00195481
71,487.527,1.64512,1.32421,1.57869,1.36076,0.52026,0.6,0.65626,0.24402,0.50362,0.60942,0.70016,0.2114,1.32827,1.01823,1.05708,1.10767,0.00195351,0.00195351,0.00195351
72,494.321,1.49358,1.32049,1.46712,1.23918,0.67998,0.42795,0.64407,0.19976,0.75682,0.62456,0.73488,0.22075,1.35737,1.07861,1.00865,1.05974,0.00195218,0.00195218,0.00195218
73,501.083,1.31505,1.17831,1.19243,1.07269,0.94573,0.7,0.75946,0.28274,0.94573,0.7,0.75946,0.28682,1.20933,0.93534,1.04908,1.03977,0.00195084,0.00195084,0.00195084
74,508.117,1.31073,1.10731,1.19565,1.09006,0.74056,0.6,0.56424,0.25303,0.87244,0.7,0.69498,0.20283,1.25294,1.10784,1.18191,1.05295,0.00194949,0.00194949,0.00194949
75,514.717,1.57875,1.37615,1.52909,1.3583,0.55022,0.8,0.63728,0.24856,0.55022,0.8,0.63966,0.2234,1.10726,1.02196,1.09112,1.00843,0.00194811,0.00194811,0.00194811
76,521.319,1.55329,1.42245,1.52997,1.29554,0.69282,0.7,0.65636,0.24095,0.74509,0.58625,0.63697,0.24231,1.30301,0.99943,1.32696,1.1594,0.00194672,0.00194672,0.00194672
77,528.482,1.55352,1.17738,1.41783,1.31924,0.62514,0.83551,0.73965,0.23926,0.55634,0.75423,0.65027,0.11798,1.25373,1.13266,0.99945,1.08997,0.0019453,0.0019453,0.0019453
78,535.32,1.40309,1.23378,1.33618,1.17496,1,0.67186,0.74419,0.239,1,0.67186,0.72994,0.28909,1.096,0.85599,1.26844,1.00643,0.00194388,0.00194388,0.00194388
79,542.032,1.6131,1.19057,1.49728,1.30294,0.97328,0.6,0.79298,0.19092,0.97328,0.6,0.79298,0.20453,1.10488,0.97143,1.24983,1.01795,0.00194243,0.00194243,0.00194243
80,548.842,1.64898,1.2883,1.67212,1.44135,0.74288,0.58006,0.63051,0.20027,0.86281,0.63174,0.72309,0.26804,1.243,0.85228,1.21394,1.07345,0.00194096,0.00194096,0.00194096
81,555.828,1.43457,1.34476,1.50984,1.24081,0.76872,0.66739,0.73637,0.30538,0.76872,0.66739,0.73637,0.3635,1.1518,0.91353,1.09555,0.98815,0.00193948,0.00193948,0.00193948
82,562.435,1.36378,1.15564,1.28671,1.06819,0.76332,0.6,0.70096,0.33769,0.80009,0.6,0.72877,0.2985,1.13245,0.9501,0.97934,0.98964,0.00193798,0.00193798,0.00193798
83,569.176,1.56285,1.26713,1.59005,1.31306,0.59534,0.8,0.7303,0.22137,0.62791,0.8456,0.64794,0.23787,1.15713,0.87197,1.25325,0.95183,0.00193647,0.00193647,0.00193647
84,576.042,1.46264,1.13098,1.53824,1.18398,0.83694,0.7,0.72242,0.22476,0.83694,0.7,0.7631,0.32211,1.32574,0.98591,1.12028,1.10159,0.00193493,0.00193493,0.00193493
85,582.921,1.59177,1.30184,1.591,1.33091,0.86551,0.64687,0.73592,0.3176,0.86551,0.64687,0.73592,0.31318,1.17717,0.93231,1.27911,1.14262,0.00193338,0.00193338,0.00193338
86,589.538,1.54749,1.2347,1.64258,1.3635,0.72768,0.6,0.68801,0.21904,0.8534,0.7,0.71824,0.24534,1.28826,0.91659,1.28246,1.16578,0.00193181,0.00193181,0.00193181
87,596.41,1.27889,1.05594,1.18317,1.09577,0.87013,0.7,0.77412,0.26789,0.87013,0.7,0.78269,0.39003,1.27767,0.87935,1.13655,1.07666,0.00193022,0.00193022,0.00193022
88,603.476,1.67831,1.44132,1.55154,1.40303,0.74035,0.6,0.66846,0.29114,0.677,0.7,0.65891,0.19879,1.19112,1.08097,1.09526,1.10621,0.00192862,0.00192862,0.00192862
89,610.181,1.46879,1.26742,1.37782,1.2536,0.73199,0.6,0.64919,0.26973,0.949,0.7,0.74998,0.26073,1.25289,0.89106,1.19962,1.20098,0.001927,0.001927,0.001927
